koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq
CONFIRMED,9.259,2.2,615.8,2.26,793
FALSE POSITIVE,10.98,4.5,874.8,33.9,1395
CONFIRMED,4.55,1.8,120.8,1.06,925
FALSE POSITIVE,19.89,1.7,10829,14.6,638
CONFIRMED,1.77,2.4,86.1,0.8,1406
CONFIRMED,3.5225,3.19,114.6,1.48,1168
FALSE POSITIVE,1.14,0.7,91.2,0.9,2100
CONFIRMED,2.88,5.6,210.9,1.59,1201
CONFIRMED,7.33,2.4,130.4,1.1,830
FALSE POSITIVE,0.78,1.2,110.6,1.11,2218
CONFIRMED,11.3,3.9,400.0,2.1,900
FALSE POSITIVE,22.1,5.2,12000.0,15.0,550
CONFIRMED,4.98,2.8,350.0,1.9,1050
FALSE POSITIVE,0.52,1.3,121.0,1.2,2500
CONFIRMED,6.8,3.5,250.0,1.7,950
CONFIRMED,9.5,2.1,150.0,1.3,800
FALSE POSITIVE,15.2,4.8,9000.0,12.0,600
CONFIRMED,3.1,2.9,180.0,1.4,1100
FALSE POSITIVE,30.5,6.1,15000.0,20.0,500
CONFIRMED,2.5,1.9,100.0,1.0,1300
CONFIRMED,5.6,3.2,280.0,1.8,1000
FALSE POSITIVE,1.9,0.9,150.0,1.5,1900
CONFIRMED,8.2,4.1,320.0,2.0,920
FALSE POSITIVE,0.9,1.1,130.0,1.3,2300
CONFIRMED,12.9,5.5,450.0,2.3,850
